time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
12.561,-0.29,-0.59,-0.23,-0.08,3.92,-1.87,-0.05,-0.86,0.22
12.574,-0.29,-0.59,-0.23,-0.28,3.45,-1.81,-0.05,-0.86,0.22
12.593,-0.29,-0.59,-0.23,-0.45,2.78,-1.59,-0.05,-0.86,0.22
12.601,-0.29,-0.59,-0.23,-0.45,2.78,-1.59,-0.21,-0.98,-0.25
12.615,-0.29,-0.59,-0.23,-0.82,2.32,-1.46,-0.21,-0.98,-0.25
12.621,-0.39,-0.75,-0.19,-0.82,2.32,-1.46,-0.21,-0.98,-0.25
12.644,-0.39,-0.75,-0.19,-1.11,2.0,-1.2,-0.21,-0.98,-0.25
12.673,-0.39,-0.75,-0.19,-1.44,1.68,-1.13,-0.21,-0.98,-0.25
12.674,-0.39,-0.75,-0.19,-1.44,1.68,-1.13,-0.09,-0.78,-0.34
12.675,-0.39,-0.75,-0.19,-1.48,0.73,-1.11,-0.09,-0.78,-0.34
12.686,-0.46,-0.99,-0.2,-1.48,0.73,-1.11,-0.09,-0.78,-0.34
12.694,-0.46,-0.99,-0.2,-1.66,-0.55,-1.41,-0.09,-0.78,-0.34
12.713,-0.46,-0.99,-0.2,-1.87,-2.27,-1.96,-0.09,-0.78,-0.34
12.74,-0.46,-0.99,-0.2,-2.4,-3.13,-2.48,-0.09,-0.78,-0.34
12.741,-0.46,-0.99,-0.2,-2.4,-3.13,-2.48,0.11,0.01,-0.39
12.766,-0.62,-1.17,-0.3,-2.4,-3.13,-2.48,0.11,0.01,-0.39
12.767,-0.62,-1.17,-0.3,-3.2,-1.97,-2.1,0.11,0.01,-0.39
12.773,-0.62,-1.17,-0.3,-3.91,-0.58,-1.11,0.11,0.01,-0.39
12.794,-0.62,-1.17,-0.3,-3.65,-0.4,-0.38,0.11,0.01,-0.39
12.797,-0.62,-1.17,-0.3,-3.65,-0.4,-0.38,-0.26,-0.65,0.5
12.813,-0.62,-1.17,-0.3,-2.42,-1.86,-0.14,-0.26,-0.65,0.5
12.821,-0.53,-1.18,-0.12,-2.42,-1.86,-0.14,-0.26,-0.65,0.5
12.84,-0.53,-1.18,-0.12,-0.9,-2.83,-0.68,-0.26,-0.65,0.5
12.858,-0.53,-1.18,-0.12,0.12,-3.17,-1.49,-0.26,-0.65,0.5
12.861,-0.53,-1.18,-0.12,0.12,-3.17,-1.49,0.04,-0.66,0.18
12.901,-0.53,-1.18,-0.12,0.48,-3.31,-2.25,0.04,-0.66,0.18
12.902,-0.32,-1.28,-0.35,0.48,-3.31,-2.25,0.04,-0.66,0.18
12.903,-0.32,-1.28,-0.35,-0.07,-3.02,-2.7,0.04,-0.66,0.18
12.913,-0.32,-1.28,-0.35,-1.43,-2.61,-2.07,0.04,-0.66,0.18
12.927,-0.32,-1.28,-0.35,-1.43,-2.61,-2.07,-0.39,1.45,-0.29
12.94,-0.32,-1.28,-0.35,-2.79,-2.17,-1.56,-0.39,1.45,-0.29
12.946,-0.7,-1.17,-0.25,-2.79,-2.17,-1.56,-0.39,1.45,-0.29
12.978,-0.7,-1.17,-0.25,-3.82,-2.16,-0.95,-0.39,1.45,-0.29
12.979,-0.7,-1.17,-0.25,-4.47,-2.36,-0.44,-0.39,1.45,-0.29
12.993,-0.7,-1.17,-0.25,-4.21,-2.64,0.0,-0.39,1.45,-0.29
12.995,-0.7,-1.17,-0.25,-4.21,-2.64,0.0,-0.64,1.51,1.02
13.011,-0.72,-1.19,-0.16,-4.21,-2.64,0.0,-0.64,1.51,1.02
13.013,-0.72,-1.19,-0.16,-3.52,-2.57,0.28,-0.64,1.51,1.02
13.037,-0.72,-1.19,-0.16,-2.59,-2.42,0.49,-0.64,1.51,1.02
13.058,-0.72,-1.19,-0.16,-1.95,-1.99,0.66,-0.64,1.51,1.02
13.059,-0.72,-1.19,-0.16,-1.95,-1.99,0.66,-0.69,1.86,2.1
13.074,-0.72,-1.19,-0.16,-1.23,-1.69,1.01,-0.69,1.86,2.1
13.076,-0.55,-1.05,-0.13,-1.23,-1.69,1.01,-0.69,1.86,2.1
13.093,-0.55,-1.05,-0.13,-0.4,-1.56,1.5,-0.69,1.86,2.1
13.113,-0.55,-1.05,-0.13,0.55,-1.38,1.89,-0.69,1.86,2.1
13.121,-0.55,-1.05,-0.13,0.55,-1.38,1.89,-1.01,1.36,2.43
13.138,-0.55,-1.05,-0.13,1.48,-1.08,2.35,-1.01,1.36,2.43
13.143,-0.33,-0.9,-0.06,1.48,-1.08,2.35,-1.01,1.36,2.43
13.171,-0.33,-0.9,-0.06,2.33,-0.59,2.57,-1.01,1.36,2.43
13.174,-0.33,-0.9,-0.06,3.15,-0.44,2.87,-1.01,1.36,2.43
13.186,-0.33,-0.9,-0.06,3.15,-0.44,2.87,-1.1,0.88,1.88
13.193,-0.33,-0.9,-0.06,3.72,-0.12,2.98,-1.1,0.88,1.88
13.206,-0.16,-0.76,-0.04,3.72,-0.12,2.98,-1.1,0.88,1.88
13.213,-0.16,-0.76,-0.04,4.23,-0.08,3.33,-1.1,0.88,1.88
13.239,-0.16,-0.76,-0.04,4.29,0.34,3.61,-1.1,0.88,1.88
13.268,-0.16,-0.76,-0.04,4.23,0.53,4.19,-1.1,0.88,1.88
13.27,-0.16,-0.76,-0.04,4.23,0.53,4.19,-1.19,0.59,0.82
13.271,-0.18,-0.64,0.06,4.23,0.53,4.19,-1.19,0.59,0.82
13.275,-0.18,-0.64,0.06,4.03,0.89,4.43,-1.19,0.59,0.82
13.293,-0.18,-0.64,0.06,3.98,0.79,4.95,-1.19,0.59,0.82
13.313,-0.18,-0.64,0.06,3.77,0.91,4.81,-1.19,0.59,0.82
13.32,-0.18,-0.64,0.06,3.77,0.91,4.81,-0.84,-0.05,0.05
13.336,-0.18,-0.64,0.06,3.53,0.34,4.91,-0.84,-0.05,0.05
13.337,-0.23,-0.72,0.1,3.53,0.34,4.91,-0.84,-0.05,0.05
13.353,-0.23,-0.72,0.1,3.19,-0.13,4.39,-0.84,-0.05,0.05
13.38,-0.23,-0.72,0.1,3.13,-0.71,4.33,-0.84,-0.05,0.05
13.383,-0.23,-0.72,0.1,3.13,-0.71,4.33,-0.51,-0.78,-0.55
13.417,-0.23,-0.72,0.1,3.12,-1.1,4.1,-0.51,-0.78,-0.55
13.419,-0.22,-0.93,0.09,3.12,-1.1,4.1,-0.51,-0.78,-0.55
13.42,-0.22,-0.93,0.09,3.43,-1.57,4.23,-0.51,-0.78,-0.55
13.44,-0.22,-0.93,0.09,3.4,-1.68,3.95,-0.51,-0.78,-0.55
13.446,-0.22,-0.93,0.09,3.4,-1.68,3.95,0.38,-0.75,-1.5
13.475,-0.22,-0.93,0.09,3.31,-2.34,3.61,0.38,-0.75,-1.5
13.477,-0.18,-1.17,0.02,3.31,-2.34,3.61,0.38,-0.75,-1.5
13.478,-0.18,-1.17,0.02,2.68,-3.26,2.38,0.38,-0.75,-1.5
13.493,-0.18,-1.17,0.02,2.01,-4.72,1.3,0.38,-0.75,-1.5
13.515,-0.18,-1.17,0.02,0.76,-6.36,0.36,0.38,-0.75,-1.5
13.519,-0.18,-1.17,0.02,0.76,-6.36,0.36,1.34,-0.16,-2.93
13.531,-0.43,-1.63,-0.18,0.76,-6.36,0.36,1.34,-0.16,-2.93
13.535,-0.43,-1.63,-0.18,-1.25,-6.59,-0.1,1.34,-0.16,-2.93
13.554,-0.43,-1.63,-0.18,-3.28,-5.28,-0.23,1.34,-0.16,-2.93
13.573,-0.43,-1.63,-0.18,-5.06,-3.92,-0.33,1.34,-0.16,-2.93
13.576,-0.43,-1.63,-0.18,-5.06,-3.92,-0.33,1.75,-0.43,-3.21
13.595,-0.43,-1.63,-0.18,-6.18,-2.67,-0.89,1.75,-0.43,-3.21
13.597,-0.8,-1.25,-0.19,-6.18,-2.67,-0.89,1.75,-0.43,-3.21
13.613,-0.8,-1.25,-0.19,-6.9,-2.02,-2.03,1.75,-0.43,-3.21
13.637,-0.8,-1.25,-0.19,-6.88,-2.35,-3.56,1.75,-0.43,-3.21
13.641,-0.8,-1.25,-0.19,-6.88,-2.35,-3.56,2.75,1.32,-1.03
13.662,-0.8,-1.25,-0.19,-7.48,-2.02,-5.28,2.75,1.32,-1.03
13.664,-0.86,-1.07,-0.58,-7.48,-2.02,-5.28,2.75,1.32,-1.03
13.674,-0.86,-1.07,-0.58,-7.16,0.64,-6.41,2.75,1.32,-1.03
13.693,-0.86,-1.07,-0.58,-6.27,1.71,-6.45,2.75,1.32,-1.03
13.707,-0.86,-1.07,-0.58,-6.27,1.71,-6.45,1.07,0.12,0.88
13.715,-0.86,-1.07,-0.58,-4.78,2.82,-6.71,1.07,0.12,0.88
13.726,-0.61,-0.64,-0.6,-4.78,2.82,-6.71,1.07,0.12,0.88
13.733,-0.61,-0.64,-0.6,-4.02,3.63,-6.13,1.07,0.12,0.88
13.754,-0.61,-0.64,-0.6,-2.63,3.59,-4.81,1.07,0.12,0.88
13.777,-0.61,-0.64,-0.6,-0.77,3.16,-4.08,1.07,0.12,0.88
13.779,-0.61,-0.64,-0.6,-0.77,3.16,-4.08,-0.78,-2.96,1.42
13.817,-0.18,-0.67,-0.36,-0.77,3.16,-4.08,-0.78,-2.96,1.42
13.819,-0.18,-0.67,-0.36,0.92,3.02,-3.35,-0.78,-2.96,1.42
13.82,-0.18,-0.67,-0.36,1.64,3.3,-2.91,-0.78,-2.96,1.42
13.84,-0.18,-0.67,-0.36,2.04,3.28,-2.02,-0.78,-2.96,1.42
13.842,-0.18,-0.67,-0.36,2.04,3.28,-2.02,-0.46,-1.36,0.83
13.877,-0.18,-0.67,-0.36,2.68,3.1,-1.81,-0.46,-1.36,0.83
13.879,-0.05,-0.64,-0.21,2.68,3.1,-1.81,-0.46,-1.36,0.83
13.879,-0.05,-0.64,-0.21,2.75,3.37,-1.08,-0.46,-1.36,0.83
13.893,-0.05,-0.64,-0.21,2.0,3.39,-0.5,-0.46,-1.36,0.83
13.901,-0.05,-0.64,-0.21,2.0,3.39,-0.5,0.17,-0.12,-0.34
13.915,-0.05,-0.64,-0.21,1.3,3.42,-0.36,0.17,-0.12,-0.34
13.921,-0.22,-0.63,-0.11,1.3,3.42,-0.36,0.17,-0.12,-0.34
13.934,-0.22,-0.63,-0.11,0.64,2.98,-0.78,0.17,-0.12,-0.34
13.955,-0.22,-0.63,-0.11,-0.15,2.37,-1.22,0.17,-0.12,-0.34
13.975,-0.22,-0.63,-0.11,-0.15,2.37,-1.22,0.62,0.19,-0.81
13.977,-0.22,-0.63,-0.11,-1.04,1.85,-1.7,0.62,0.19,-0.81
13.986,-0.43,-0.84,-0.25,-1.04,1.85,-1.7,0.62,0.19,-0.81
13.993,-0.43,-0.84,-0.25,-1.48,1.07,-2.04,0.62,0.19,-0.81
14.014,-0.43,-0.84,-0.25,-1.71,-0.63,-2.55,0.62,0.19,-0.81
14.034,-0.43,-0.84,-0.25,-1.82,-2.29,-2.09,0.62,0.19,-0.81
14.036,-0.43,-0.84,-0.25,-1.82,-2.29,-2.09,-0.05,-0.17,-0.86
14.056,-0.49,-1.36,-0.27,-1.82,-2.29,-2.09,-0.05,-0.17,-0.86
14.057,-0.49,-1.36,-0.27,-2.32,-3.69,-2.14,-0.05,-0.17,-0.86
14.084,-0.49,-1.36,-0.27,-3.53,-3.83,-1.31,-0.05,-0.17,-0.86
14.093,-0.49,-1.36,-0.27,-4.79,-2.01,-0.31,-0.05,-0.17,-0.86
14.096,-0.49,-1.36,-0.27,-4.79,-2.01,-0.31,-0.79,-0.65,-0.65
14.114,-0.49,-1.36,-0.27,-5.02,-1.76,0.55,-0.79,-0.65,-0.65
14.116,-0.74,-1.19,-0.01,-5.02,-1.76,0.55,-0.79,-0.65,-0.65
14.135,-0.74,-1.19,-0.01,-4.15,-2.59,0.96,-0.79,-0.65,-0.65
14.16,-0.74,-1.19,-0.01,-2.7,-2.53,0.95,-0.79,-0.65,-0.65
14.162,-0.74,-1.19,-0.01,-2.7,-2.53,0.95,-0.13,-0.54,0.11
14.197,-0.74,-1.19,-0.01,-1.94,-2.0,0.26,-0.13,-0.54,0.11
14.199,-0.44,-1.17,-0.12,-1.94,-2.0,0.26,-0.13,-0.54,0.11
14.199,-0.44,-1.17,-0.12,-1.68,-1.77,-0.69,-0.13,-0.54,0.11
14.213,-0.44,-1.17,-0.12,-1.93,-1.72,-1.35,-0.13,-0.54,0.11
14.227,-0.44,-1.17,-0.12,-1.93,-1.72,-1.35,0.03,1.7,-0.01
14.234,-0.44,-1.17,-0.12,-2.62,-1.7,-1.4,0.03,1.7,-0.01
14.247,-0.61,-1.14,-0.23,-2.62,-1.7,-1.4,0.03,1.7,-0.01
14.257,-0.61,-1.14,-0.23,-3.47,-1.61,-1.08,0.03,1.7,-0.01
14.28,-0.61,-1.14,-0.23,-3.83,-1.98,-0.64,0.03,1.7,-0.01
14.293,-0.61,-1.14,-0.23,-4.25,-2.14,-0.02,0.03,1.7,-0.01
14.294,-0.61,-1.14,-0.23,-4.25,-2.14,-0.02,-0.61,2.25,0.63
14.311,-0.7,-1.13,-0.1,-4.25,-2.14,-0.02,-0.61,2.25,0.63
14.318,-0.7,-1.13,-0.1,-3.9,-1.73,0.67,-0.61,2.25,0.63
14.336,-0.7,-1.13,-0.1,-3.35,-1.41,1.1,-0.61,2.25,0.63
14.354,-0.7,-1.13,-0.1,-2.6,-1.52,1.42,-0.61,2.25,0.63
14.356,-0.7,-1.13,-0.1,-2.6,-1.52,1.42,-0.96,2.01,1.43
14.375,-0.7,-1.13,-0.1,-2.13,-1.71,1.67,-0.96,2.01,1.43
14.376,-0.56,-1.1,-0.06,-2.13,-1.71,1.67,-0.96,2.01,1.43
14.394,-0.56,-1.1,-0.06,-1.7,-1.53,1.97,-0.96,2.01,1.43
14.414,-0.56,-1.1,-0.06,-1.61,-0.91,2.65,-0.96,2.01,1.43
14.421,-0.56,-1.1,-0.06,-1.61,-0.91,2.65,-1.14,1.53,1.72
14.434,-0.56,-1.1,-0.06,-1.26,-0.37,3.05,-1.14,1.53,1.72
14.441,-0.54,-0.9,0.03,-1.26,-0.37,3.05,-1.14,1.53,1.72
14.455,-0.54,-0.9,0.03,-0.89,-0.18,3.5,-1.14,1.53,1.72
14.478,-0.54,-0.9,0.03,-0.1,0.04,3.53,-1.14,1.53,1.72
14.486,-0.54,-0.9,0.03,-0.1,0.04,3.53,-0.87,0.68,2.08
14.493,-0.54,-0.9,0.03,0.67,-0.0,3.57,-0.87,0.68,2.08
14.506,-0.38,-0.81,0.01,0.67,-0.0,3.57,-0.87,0.68,2.08
14.515,-0.38,-0.81,0.01,1.47,-0.01,3.31,-0.87,0.68,2.08
14.533,-0.38,-0.81,0.01,2.16,-0.17,3.47,-0.87,0.68,2.08
14.555,-0.38,-0.81,0.01,2.68,-0.22,3.53,-0.87,0.68,2.08
14.556,-0.38,-0.81,0.01,2.68,-0.22,3.53,-0.74,0.8,2.04
14.575,-0.26,-0.79,0.05,2.68,-0.22,3.53,-0.74,0.8,2.04
14.576,-0.26,-0.79,0.05,3.23,-0.45,4.09,-0.74,0.8,2.04
14.593,-0.26,-0.79,0.05,3.65,-0.03,4.22,-0.74,0.8,2.04
14.614,-0.26,-0.79,0.05,4.27,0.07,4.51,-0.74,0.8,2.04
14.616,-0.26,-0.79,0.05,4.27,0.07,4.51,-0.41,0.48,1.48
14.634,-0.26,-0.79,0.05,4.77,0.4,4.29,-0.41,0.48,1.48
14.636,-0.12,-0.69,0.09,4.77,0.4,4.29,-0.41,0.48,1.48
14.655,-0.12,-0.69,0.09,5.41,0.08,4.21,-0.41,0.48,1.48
14.675,-0.12,-0.69,0.09,5.57,-0.48,3.65,-0.41,0.48,1.48
14.683,-0.12,-0.69,0.09,5.57,-0.48,3.65,-0.01,-0.04,0.15
14.693,-0.12,-0.69,0.09,5.6,-1.81,3.42,-0.01,-0.04,0.15
14.7,-0.08,-0.95,0.0,5.6,-1.81,3.42,-0.01,-0.04,0.15
14.714,-0.08,-0.95,0.0,4.56,-1.96,2.82,-0.01,-0.04,0.15
14.733,-0.08,-0.95,0.0,3.49,-1.78,2.48,-0.01,-0.04,0.15
14.754,-0.08,-0.95,0.0,3.49,-1.78,2.48,0.59,-0.09,-1.14
14.756,-0.08,-0.95,0.0,2.48,-1.72,1.93,0.59,-0.09,-1.14
14.776,-0.32,-1.02,-0.11,2.48,-1.72,1.93,0.59,-0.09,-1.14
14.777,-0.32,-1.02,-0.11,2.01,-2.1,1.45,0.59,-0.09,-1.14
14.794,-0.32,-1.02,-0.11,1.69,-2.6,0.84,0.59,-0.09,-1.14
14.813,-0.32,-1.02,-0.11,1.69,-3.77,0.54,0.59,-0.09,-1.14
14.815,-0.32,-1.02,-0.11,1.69,-3.77,0.54,0.76,-0.77,-1.74
14.831,-0.29,-1.35,-0.2,1.69,-3.77,0.54,0.76,-0.77,-1.74
14.834,-0.29,-1.35,-0.2,1.31,-4.36,0.06,0.76,-0.77,-1.74
14.854,-0.29,-1.35,-0.2,0.38,-3.75,-0.29,0.76,-0.77,-1.74
14.877,-0.29,-1.35,-0.2,-1.01,-2.96,-0.4,0.76,-0.77,-1.74
14.879,-0.29,-1.35,-0.2,-1.01,-2.96,-0.4,0.95,-1.23,-2.69
14.893,-0.29,-1.35,-0.2,-2.01,-2.73,-0.7,0.95,-1.23,-2.69
14.897,-0.51,-1.24,-0.21,-2.01,-2.73,-0.7,0.95,-1.23,-2.69
14.914,-0.51,-1.24,-0.21,-2.67,-3.08,-1.5,0.95,-1.23,-2.69
14.934,-0.51,-1.24,-0.21,-3.6,-3.26,-2.44,0.95,-1.23,-2.69
14.941,-0.51,-1.24,-0.21,-3.6,-3.26,-2.44,2.21,0.68,-2.24
14.953,-0.51,-1.24,-0.21,-4.49,-3.05,-3.75,2.21,0.68,-2.24
14.961,-0.67,-1.29,-0.51,-4.49,-3.05,-3.75,2.21,0.68,-2.24
14.976,-0.67,-1.29,-0.51,-5.54,-2.31,-5.11,2.21,0.68,-2.24
14.993,-0.67,-1.29,-0.51,-6.07,-0.41,-5.15,2.21,0.68,-2.24
15.006,-0.67,-1.29,-0.51,-6.07,-0.41,-5.15,1.12,0.08,-0.62
15.014,-0.67,-1.29,-0.51,-6.25,1.83,-4.89,1.12,0.08,-0.62
15.026,-0.71,-0.72,-0.46,-6.25,1.83,-4.89,1.12,0.08,-0.62
15.034,-0.71,-0.72,-0.46,-5.16,2.95,-4.12,1.12,0.08,-0.62
15.053,-0.71,-0.72,-0.46,-3.92,3.37,-3.23,1.12,0.08,-0.62
15.079,-0.71,-0.72,-0.46,-2.55,3.69,-2.83,1.12,0.08,-0.62
15.08,-0.71,-0.72,-0.46,-2.55,3.69,-2.83,-0.15,-1.66,0.59
15.092,-0.37,-0.58,-0.31,-2.55,3.69,-2.83,-0.15,-1.66,0.59
15.095,-0.37,-0.58,-0.31,-1.55,4.03,-2.65,-0.15,-1.66,0.59
15.113,-0.37,-0.58,-0.31,-0.6,4.19,-2.14,-0.15,-1.66,0.59
15.135,-0.37,-0.58,-0.31,-0.04,4.54,-1.85,-0.15,-1.66,0.59
15.136,-0.37,-0.58,-0.31,-0.04,4.54,-1.85,-0.35,-1.09,0.52
15.153,-0.37,-0.58,-0.31,0.33,4.63,-1.3,-0.35,-1.09,0.52
15.155,-0.24,-0.5,-0.21,0.33,4.63,-1.3,-0.35,-1.09,0.52
15.175,-0.24,-0.5,-0.21,0.34,4.49,-0.98,-0.35,-1.09,0.52
15.193,-0.24,-0.5,-0.21,0.3,4.14,-0.71,-0.35,-1.09,0.52
15.201,-0.24,-0.5,-0.21,0.3,4.14,-0.71,-0.42,-0.98,0.02
15.214,-0.24,-0.5,-0.21,0.11,3.78,-0.58,-0.42,-0.98,0.02
15.221,-0.31,-0.61,-0.16,0.11,3.78,-0.58,-0.42,-0.98,0.02
15.233,-0.31,-0.61,-0.16,0.07,3.23,-0.31,-0.42,-0.98,0.02
15.254,-0.31,-0.61,-0.16,-0.1,2.97,-0.12,-0.42,-0.98,0.02
15.273,-0.31,-0.61,-0.16,-0.1,2.97,-0.12,-0.38,-0.83,-0.26
15.274,-0.31,-0.61,-0.16,-0.15,2.49,0.03,-0.38,-0.83,-0.26
15.286,-0.36,-0.76,-0.12,-0.15,2.49,0.03,-0.38,-0.83,-0.26
15.294,-0.36,-0.76,-0.12,-0.3,1.69,0.05,-0.38,-0.83,-0.26
15.314,-0.36,-0.76,-0.12,-0.35,0.38,0.17,-0.38,-0.83,-0.26
15.333,-0.36,-0.76,-0.12,-0.62,-0.97,-0.09,-0.38,-0.83,-0.26
15.334,-0.36,-0.76,-0.12,-0.62,-0.97,-0.09,-0.06,-0.47,-0.67
15.352,-0.42,-1.27,-0.17,-0.62,-0.97,-0.09,-0.06,-0.47,-0.67
15.355,-0.42,-1.27,-0.17,-1.15,-2.99,-0.44,-0.06,-0.47,-0.67
15.373,-0.42,-1.27,-0.17,-2.19,-3.42,-0.5,-0.06,-0.47,-0.67
15.393,-0.42,-1.27,-0.17,-3.25,-1.67,-0.41,-0.06,-0.47,-0.67
15.397,-0.42,-1.27,-0.17,-3.25,-1.67,-0.41,0.07,-0.08,-0.9
15.414,-0.42,-1.27,-0.17,-4.23,-0.7,-0.05,0.07,-0.08,-0.9
15.416,-0.71,-1.04,-0.12,-4.23,-0.7,-0.05,0.07,-0.08,-0.9
15.434,-0.71,-1.04,-0.12,-4.17,-1.59,0.19,0.07,-0.08,-0.9
15.454,-0.71,-1.04,-0.12,-3.04,-3.21,-0.14,0.07,-0.08,-0.9
15.462,-0.71,-1.04,-0.12,-3.04,-3.21,-0.14,0.69,-0.03,0.16
15.473,-0.71,-1.04,-0.12,-1.89,-3.5,-1.12,0.69,-0.03,0.16
15.481,-0.46,-1.33,-0.27,-1.89,-3.5,-1.12,0.69,-0.03,0.16
15.493,-0.46,-1.33,-0.27,-1.69,-3.35,-2.14,0.69,-0.03,0.16
15.514,-0.46,-1.33,-0.27,-2.1,-2.75,-2.78,0.69,-0.03,0.16
15.526,-0.46,-1.33,-0.27,-2.1,-2.75,-2.78,0.49,1.13,-0.05
15.535,-0.46,-1.33,-0.27,-2.77,-2.13,-3.0,0.49,1.13,-0.05
15.553,-0.63,-1.13,-0.37,-2.77,-2.13,-3.0,0.49,1.13,-0.05
15.554,-0.63,-1.13,-0.37,-3.28,-1.39,-2.6,0.49,1.13,-0.05
15.573,-0.63,-1.13,-0.37,-3.63,-0.9,-2.32,0.49,1.13,-0.05
15.593,-0.63,-1.13,-0.37,-3.35,-1.4,-2.02,0.49,1.13,-0.05
15.594,-0.63,-1.13,-0.37,-3.35,-1.4,-2.02,-0.12,1.97,0.87
15.611,-0.63,-1.15,-0.31,-3.35,-1.4,-2.02,-0.12,1.97,0.87
15.615,-0.63,-1.15,-0.31,-2.9,-1.96,-1.79,-0.12,1.97,0.87
15.634,-0.63,-1.15,-0.31,-2.43,-1.82,-1.34,-0.12,1.97,0.87
15.654,-0.63,-1.15,-0.31,-2.25,-1.4,-0.47,-0.12,1.97,0.87
15.657,-0.63,-1.15,-0.31,-2.25,-1.4,-0.47,-0.76,2.0,1.44
15.682,-0.63,-1.15,-0.31,-1.89,-1.29,0.33,-0.76,2.0,1.44
15.683,-0.58,-1.04,-0.15,-1.89,-1.29,0.33,-0.76,2.0,1.44
15.693,-0.58,-1.04,-0.15,-1.4,-1.37,1.08,-0.76,2.0,1.44
15.713,-0.58,-1.04,-0.15,-0.75,-1.49,1.63,-0.76,2.0,1.44
